Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,QC,QC,QC,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
90.5072__24.6,547263.85151,648912.2071,223976.67268,746208.1569,470163.35929,792767.15612,1473605.67884,1471645.99352,1484250.62733,783615.59026,507788.16813,932508.15889,546832.85438,1040065.37218,938804.48471
90.5072__80.46,2527002.91543,2586835.51843,2161526.53401,0,1303989.8724,2248562.78744,864747.28417,2361548.84001,2644864.02101,2440432.46811,2361377.76089,2695613.36833,2358235.50952,3698122.10367,2969625.14111
90.5072__91.13,3211566.1339,3282225.42095,2973499.26514,0,2776262.53406,3126060.62966,4590908.14683,5274137.99392,6569739.82958,4150493.9443,3677735.02898,3577102.97306,3561360.95008,6699575.82029,5599530.29214
90.5073__139.56,38274269.57429,28635692.94638,31622166.61167,36746949.26207,34056689.5507,32484437.4229,145469.88256,3457098425.42941,1984473380.12137,20434998.26852,9010975.09934,17857398.16829,15192886.5958,36979407.13743,29132982.39523
90.5074__206.67,12707703.97668,5116682.32468,5415692.80862,2365465.96604,17217759.09156,8213148.3643,3266283.08516,6722657.00994,6708083.571,3639135.73916,4801184.97625,0,0,0,0
90.5261__153.62,57322329.89242,44736578.35533,43884145.58972,0,51716075.01265,43750769.89472,4661003899.32174,2392808689.1595,2062251809.57279,41630522.17375,48846153.16858,42152735.03866,42954945.53948,48806198.11554,46631162.64761
90.5261__103.71,5165014.63625,4943872.06656,5288311.21092,4970785.42462,4740410.1324,4388272.65172,6714583.47006,7007683.29465,2337540.58873,7131140.09038,6913782.54228,6459318.51799,6331436.54386,9105285.50931,7621084.47264
90.5261__172.77,162899795.29898,170194102.19889,261934977.44775,250794373.23602,179898388.33111,160489118.83842,838195840.78469,552222939.40405,544994225.11926,124986419.08273,208345999.22031,54858989.69658,118661045.09984,166680504.39922,75696521.09647
90.9769__71.37,76455294.7914,115171762.51019,70257066.8734,77080913.94004,76763002.15736,64105673.72106,44450859.31055,52812625.08424,33833258.31992,152917316.85499,148506118.7956,153926932.25922,98252216.47356,132150244.03655,130192179.80392
90.9769__114.37,583365054.90335,483130462.53938,389716843.00575,485503827.80391,534864132.40366,422528737.02328,323336499.19514,294883720.27063,276525999.2074,230237431.75429,231124879.14022,245178181.59638,193417663.54015,321995863.42142,314130093.10138
90.977__60.17,42542127.51137,43816099.56326,42611685.89396,44200060.36546,41532403.20386,38806369.69189,53286512.50805,86935055.9388,52588129.83995,67050.50938,47045530.99251,126435.05558,94541.19678,98601585.82482,57043643.29082
91.0545__95.71,682686.49808,671676.29753,1153215.74821,41571.90345,846221.07717,729860.32945,2275304.19296,2228624.9239,2167204.54839,3221541.29796,3152579.43097,3190955.61649,3497722.57177,1788753.04909,2930598.97384
91.0545__109.61,1755161.7569,2218589.45305,2479328.71818,3414653.79774,2261299.01362,2254112.49028,2514093.57483,2346888.84521,2287101.23225,2216400.40312,2653871.19297,2622280.03588,2775745.205,1846762.63315,5876653.00046
91.0545__24.02,89016.36515,128972.25823,104003.10693,0,48157.47464,188857.91003,136876.75878,157580.39933,159694.69268,430271.27049,427238.67929,566243.22788,344754.52407,312761.43465,495869.15688
91.0585__118.68,1663996.90605,1645795.34594,1361964.64588,108911.40548,1635485.97838,1090210.91199,6994138.3195,6520030.36045,6233089.11001,2907992.57696,3227476.63337,6701783.44356,4858449.78855,5633057.07452,5041100.36478
